speed,U,R_U,R_2U,R_4U,abs_R_U_minus_R_2U,abs_R_2U_minus_R_4U,observed_order
0.30,100,7.88493854751594510e-03,7.88493830989673954e-03,7.88493827982206588e-03,2.37619205561978575e-10,3.00746736542345516e-11,2.98203045896325625e+00
0.30,200,7.88493830989673954e-03,7.88493827982206588e-03,7.88493827607722290e-03,3.00746736542345516e-11,3.74484297738231220e-12,3.00557195019835843e+00
0.30,400,7.88493827982206588e-03,7.88493827607722290e-03,7.88493827561013647e-03,3.74484297738231220e-12,4.67086438971087148e-13,3.00314376246939396e+00
0.60,100,1.53000111724767140e-02,1.53000072485119688e-02,1.53000067671998155e-02,3.92396474514777882e-09,4.81312153327584369e-10,3.02726732221333927e+00
0.60,200,1.53000072485119688e-02,1.53000067671998155e-02,1.53000067075936830e-02,4.81312153327584369e-10,5.96061325297547739e-11,3.01344017842585954e+00
0.60,400,1.53000067671998155e-02,1.53000067075936830e-02,1.53000067001369776e-02,5.96061325297547739e-11,7.45670539203935334e-12,2.99885052072725999e+00
0.85,100,2.06205992737638483e-02,2.06205844673670834e-02,2.06205825923744465e-02,1.48063967649048056e-08,1.87499263684665074e-09,2.98126375868484583e+00
0.85,200,2.06205844673670834e-02,2.06205825923744465e-02,2.06205823502189495e-02,1.87499263684665074e-09,2.42155497043317069e-10,2.95287927183442322e+00
0.85,400,2.06205825923744465e-02,2.06205823502189495e-02,2.06205823201922045e-02,2.42155497043317069e-10,3.00267449793167884e-11,3.01161375866259862e+00
