speed,energy_over_a_c,production_rate_over_a_c,reference_rate_over_a_c,absolute_difference,relative_difference
0.85,1.96,3.79215269783146419e-05,3.79215269708885685e-05,7.42607337385001176e-15,1.95827382677676129e-10
0.85,2.00,3.33144272378136017e-05,3.33144272419232768e-05,4.10967511106988259e-15,1.23360221120602616e-10
0.85,2.04,2.92670439641442719e-05,2.92670439762568125e-05,1.21125406525503937e-14,4.13862796064297309e-10
0.85,2.08,2.57113677652641903e-05,2.57113677344689116e-05,3.07952787077271639e-14,1.19773008677569148e-09
0.85,2.12,2.25876602150278597e-05,2.25876602141825547e-05,8.45305000041901566e-16,3.74233095427539408e-11
0.85,2.16,1.98434451322753249e-05,1.98434451292540059e-05,3.02131908901104307e-15,1.52257789377354273e-10
0.85,2.20,1.74326230507910154e-05,1.74326230281629300e-05,2.26280853863475295e-14,1.29803101631872461e-09
0.85,2.24,1.53146943935615578e-05,1.53146944132307674e-05,1.96692095662080735e-14,1.28433575202227505e-09
0.85,2.28,1.34540781647413017e-05,1.34540781687337644e-05,3.99246269182883251e-15,2.96747398205772751e-10
0.85,2.32,1.18195143094719111e-05,1.18195143078228497e-05,1.64906133995508519e-15,1.39520228751162768e-10
0.85,2.36,1.03835392209214814e-05,1.03835392482947097e-05,2.73732283313701114e-14,2.63621369138327474e-09
0.85,2.40,9.12202515890147013e-06,9.12202515155933772e-06,7.34213240877711060e-15,8.04879649725810211e-10
0.85,2.44,8.01377555105586709e-06,8.01377554723393923e-06,3.82192785449222971e-15,4.76919752988517181e-10
0.85,2.48,7.04016924542225957e-06,7.04016925436660646e-06,8.94434689751840220e-15,1.27047327618874298e-09
0.85,2.52,6.18484774806942499e-06,6.18484772297322366e-06,2.50962013282761583e-14,4.05769106247481483e-09
0.85,2.56,5.43344029205121795e-06,5.43344028966831352e-06,2.38290442743484612e-15,4.38562733810830434e-10
0.85,2.60,4.77332223686186903e-06,4.77332223985055363e-06,2.98868460361922939e-15,6.26122531319570217e-10
0.85,2.64,4.19340281826260500e-06,4.19340280190517652e-06,1.63574284800234275e-14,3.90075298098999771e-09
0.85,2.68,3.68393871448870163e-06,3.68393873149939919e-06,1.70106975583956231e-14,4.61752998575850447e-09
0.85,2.72,3.23637029907129390e-06,3.23637030655951493e-06,7.48822102822300703e-15,2.31377139168709747e-09
0.85,2.76,2.84317781817288064e-06,2.84317781421592006e-06,3.95696057639408939e-15,1.39173869344690416e-09
0.85,2.80,2.49775506114393882e-06,2.49775508193204037e-06,2.07881015495319042e-14,8.32271414435561250e-09
0.85,2.84,2.19429838796238028e-06,2.19429838175485613e-06,6.20752415263345000e-15,2.82893347789332056e-09
0.85,2.88,1.92770924008056918e-06,1.92770923184691173e-06,8.23365745565183757e-15,4.27121337576584808e-09
0.85,2.92,1.69350849157853743e-06,1.69350849900056919e-06,7.42203175614218787e-15,4.38263626106531512e-09
0.85,2.96,1.48776120039106308e-06,1.48776118035615234e-06,2.00349107472291973e-14,1.34664830698385859e-08
0.85,3.00,1.30701049668560679e-06,1.30701049319470936e-06,3.49089742606811890e-15,2.67090237166754644e-09
0.85,3.04,1.14821949978367698e-06,1.14821950651296390e-06,6.72928691902144240e-15,5.86062758980437682e-09
0.85,3.08,1.00872028975126845e-06,1.00872027760092387e-06,1.21503445800193004e-14,1.20453061664596522e-08
0.85,3.12,8.86169078951239114e-07,8.86169092926961929e-07,1.39757228159671830e-14,1.57709436353802763e-08
0.85,3.16,7.78506830062526956e-07,7.78506839447263647e-07,9.38473669097133166e-15,1.20547902927024410e-08
0.85,3.20,6.83924660036991427e-07,6.83924654420433373e-07,5.61655805330095242e-15,8.21224679794662035e-09
0.85,3.24,6.00833448225961419e-07,6.00833463856864647e-07,1.56309032278123517e-14,2.60153672657887608e-08
0.85,3.28,5.27837137268938874e-07,5.27837132511369850e-07,4.75756902423792082e-15,9.01332765582845895e-09
0.85,3.32,4.63709278170128886e-07,4.63709267357390149e-07,1.08127387370772791e-14,2.33179267662633996e-08
0.85,3.36,4.07372425234735418e-07,4.07372431691713579e-07,6.45697816139647923e-15,1.58503071368435509e-08
0.85,3.40,3.57880034055954457e-07,3.57880018522423808e-07,1.55335306495366023e-14,4.34042970984235425e-08
0.85,3.44,3.14400558380623224e-07,3.14400553982304483e-07,4.39831874026396733e-15,1.39895387732412185e-08
0.85,3.48,2.76203478824450958e-07,2.76203487915172243e-07,9.09072128470487855e-15,3.29131299293976532e-08
0.85,3.52,2.42647028900262229e-07,2.42647019949225148e-07,8.95103708137317189e-15,3.68891284271540249e-08
0.85,3.56,2.13167411544601131e-07,2.13167422498288242e-07,1.09536871106129832e-14,5.13853710958152775e-08
0.85,3.60,1.87269326219186768e-07,1.87269336672023402e-07,1.04528366347806338e-14,5.58171285301626570e-08
0.85,3.64,1.64517646803307178e-07,1.64517640104614613e-07,6.69869256542264990e-15,4.07171690595795010e-08
0.85,3.68,1.44530110632822351e-07,1.44530121973724248e-07,1.13409018961729618e-14,7.84673931032504906e-08
0.85,3.72,1.26970896271714748e-07,1.26970893063908439e-07,3.20780630960152292e-15,2.52641076406931552e-08
0.85,3.76,1.11544981509157852e-07,1.11544969326901186e-07,1.21822566654211143e-14,1.09213860014779993e-07
0.85,3.80,9.79931871244068651e-08,9.79931927154759103e-08,5.59106904520794741e-15,5.70556881582750856e-08
0.85,3.84,8.60878223149083995e-08,8.60878108357593973e-08,1.14791490022305332e-14,1.33342326756696799e-07
0.85,3.88,7.56288595241878480e-08,7.56288544964367012e-08,5.02775114683012446e-15,6.64792714408626889e-08
0.85,3.92,6.64405734367719755e-08,6.64405838656853029e-08,1.04289133273859590e-14,1.56966009637555278e-07
0.85,3.96,5.83685883615708887e-08,5.83685820139454815e-08,6.34762540719511611e-15,1.08750721504225253e-07
0.85,4.00,5.12772838096460552e-08,5.12772919137732605e-08,8.10412720535912964e-15,1.58045148308277420e-07
