speed,energy_over_a_c,production_rate_over_a_c,reference_rate_over_a_c,absolute_difference,relative_difference
0.30,0.92,2.97380314593922741e-03,2.97380314594168508e-03,2.45766948459014145e-15,8.26439869748639831e-13
0.30,0.96,2.82828557216520046e-03,2.82828557216705965e-03,1.85918988537814300e-15,6.57355786019024121e-13
0.30,1.00,2.68772373691254047e-03,2.68772373691439879e-03,1.85832252364015460e-15,6.91411285362823100e-13
0.30,1.04,2.55203141430576609e-03,2.55203141430651419e-03,7.48099499014998059e-16,2.93138828472566290e-13
0.30,1.08,2.42112227299078704e-03,2.42112227298976919e-03,1.01784899952939156e-15,4.20403798223904364e-13
0.30,1.12,2.29490987981691673e-03,2.29490987981561699e-03,1.29974156437562272e-15,5.66358433421381041e-13
0.30,1.16,2.17330770352270296e-03,2.17330770352068461e-03,2.01835076429901505e-15,9.28699954005295810e-13
0.30,1.20,2.05622911842540893e-03,2.05622911842351245e-03,1.89648644011164436e-15,9.22312802167522525e-13
0.30,1.24,1.94358740811393293e-03,1.94358740811345090e-03,4.82036285887055271e-16,2.48013690495631083e-13
0.30,1.28,1.83529576914498384e-03,1.83529576914504802e-03,6.41847686111418625e-17,3.49724386064713773e-14
0.30,1.32,1.73126731474238177e-03,1.73126731474355791e-03,1.17614251671227521e-15,6.79353504046537193e-13
0.30,1.36,1.63141507849929603e-03,1.63141507850129595e-03,1.99991932736676148e-15,1.22588012929486522e-12
0.30,1.40,1.53565201808335034e-03,1.53565201808470450e-03,1.35416851343439504e-15,8.81819902873139677e-13
0.30,1.44,1.44389101894438110e-03,1.44389101894549913e-03,1.11802928026705217e-15,7.74316943313055603e-13
0.30,1.48,1.35604489802475269e-03,1.35604489802490817e-03,1.55474591534421336e-16,1.14652982184344704e-13
0.30,1.52,1.27202640747198464e-03,1.27202640747079224e-03,1.19240554929955778e-15,9.37406285196903213e-13
0.30,1.56,1.19174823835354140e-03,1.19174823835223559e-03,1.30581309654154154e-15,1.09571221044724776e-12
0.30,1.60,1.11512302437352727e-03,1.11512302437186432e-03,1.66294929215826670e-15,1.49126980235654856e-12
0.30,1.64,1.04206334559110172e-03,1.04206334558975969e-03,1.34202544910255739e-15,1.28785400118169687e-12
0.30,1.68,9.72481732140393100e-04,9.72481732140351033e-04,4.20670442924375720e-17,4.32574133807650298e-14
0.30,1.72,9.06290667951791451e-04,9.06290667952260043e-04,4.68592178948235016e-16,5.17044029601459726e-13
0.30,1.76,8.43402594474394990e-04,8.43402594475725197e-04,1.33020764542246539e-15,1.57719178733300836e-12
0.30,1.80,7.83729914399485645e-04,7.83729914401313827e-04,1.82818170324505758e-15,2.33266801439063808e-12
0.30,1.84,7.27184995384932650e-04,7.27184995385994843e-04,1.06219286838404869e-15,1.46069139919509663e-12
0.30,1.88,6.73680173780336327e-04,6.73680173781010375e-04,6.74048490634238107e-16,1.00054672360500164e-12
0.30,1.92,6.23127758352742269e-04,6.23127758352451486e-04,2.90783022660612289e-16,4.66650728944321137e-13
0.30,1.96,5.75440034012761445e-04,5.75440034011317505e-04,1.44394045331619481e-15,2.50928049487741413e-12
0.30,2.00,5.30529265540871479e-04,5.30529265539475352e-04,1.39612713750958406e-15,2.63157421879434794e-12
0.30,2.04,4.88307701313696026e-04,4.88307701312162205e-04,1.53382081341524312e-15,3.14109486558089748e-12
0.30,2.08,4.48687577030058415e-04,4.48687577029081494e-04,9.76920367518063770e-16,2.17728418956147079e-12
0.30,2.12,4.11581119436602212e-04,4.11581119436985586e-04,3.83373888190874368e-16,9.31466168116028339e-13
0.30,2.16,3.76900550052829727e-04,3.76900550053688795e-04,8.59067591368889438e-16,2.27929513832366894e-12
0.30,2.20,3.44558088895369219e-04,3.44558088897004087e-04,1.63486845589089214e-15,4.74482680445673671e-12
0.30,2.24,3.14465958201373490e-04,3.14465958203252413e-04,1.87892236491737918e-15,5.97496268166156673e-12
0.30,2.28,2.86536386150856512e-04,2.86536386151705876e-04,8.49363981925144174e-16,2.96424476253236084e-12
0.30,2.32,2.60681610587860349e-04,2.60681610588173250e-04,3.12900746979316580e-16,1.20031768360384841e-12
0.30,2.36,2.36813882740277384e-04,2.36813882739439783e-04,8.37600388353676450e-16,3.53695644302773650e-12
0.30,2.40,2.14845470938112936e-04,2.14845470936142886e-04,1.97004955751478583e-15,9.16961176296022983e-12
0.30,2.44,1.94688664329993187e-04,1.94688664328326416e-04,1.66677110481627810e-15,8.56121290146305439e-12
0.30,2.48,1.76255776597717203e-04,1.76255776596081956e-04,1.63524792665126206e-15,9.27769834403040251e-12
0.30,2.52,1.59459149668641527e-04,1.59459149667976667e-04,6.64859877222423457e-16,4.16946834726501562e-12
0.30,2.56,1.44211157425682643e-04,1.44211157426766900e-04,1.08425638259412871e-15,7.51853325318974913e-12
0.30,2.60,1.30424209414779514e-04,1.30424209416329299e-04,1.54978569040509218e-15,1.18826535145633536e-11
0.30,2.64,1.18010754549670795e-04,1.18010754552138304e-04,2.46750861930544740e-15,2.09091843253597545e-11
0.30,2.68,1.06883284813855117e-04,1.06883284816264784e-04,2.40966643340334574e-15,2.25448388636785111e-11
0.30,2.72,9.69543389595723586e-05,9.69543389601958832e-05,6.23524669396413600e-16,6.43111671002572132e-12
0.30,2.76,8.81365062036851678e-05,8.81365062034680021e-05,2.17165695148846538e-16,2.46396986337883091e-12
0.30,2.80,8.03424299203143799e-05,8.03424299181194803e-05,2.19489953556112338e-15,2.73193073423101913e-11
0.30,2.84,7.34848113299962588e-05,7.34848113261357401e-05,3.86051867556913564e-15,5.25349198820912861e-11
0.30,2.88,6.74764131851994634e-05,6.74764131823441356e-05,2.85532773640351234e-15,4.23159382922066275e-11
0.30,2.92,6.22300634519602986e-05,6.22300634492750415e-05,2.68525707312200490e-15,4.31504794352461334e-11
0.30,2.96,5.76586589874164364e-05,5.76586589873488635e-05,6.75729004001590638e-17,1.17194713832983061e-12
