speed,energy_over_a_c,production_rate_over_a_c,mode_sum_rate_over_a_c,absolute_difference,relative_difference
0.30,1.36,1.63141507849929603e-03,1.63141507850103119e-03,1.73515715684580130e-15,1.06359024120341589e-12
0.30,1.40,1.53565201808335034e-03,1.53565201808499203e-03,1.64169892957755081e-15,1.06905660282646762e-12
0.30,1.44,1.44389101894438110e-03,1.44389101894537835e-03,9.97249158252166978e-16,6.90667886403615332e-13
0.30,1.48,1.35604489802475269e-03,1.35604489802478457e-03,3.18755438710738304e-17,2.35062599457464544e-14
0.30,1.52,1.27202640747198464e-03,1.27202640747106546e-03,9.19186601833210659e-16,7.22615974349667112e-13
0.30,1.56,1.19174823835354140e-03,1.19174823835200292e-03,1.53848288275693079e-15,1.29094621938305217e-12
0.30,1.60,1.11512302437352727e-03,1.11512302437190161e-03,1.62565273742476535e-15,1.45782366778806492e-12
0.30,1.64,1.04206334559110172e-03,1.04206334558993858e-03,1.16313209064244916e-15,1.11618175187226313e-12
0.30,1.68,9.72481732140393100e-04,9.72481732140083994e-04,3.09106039375617314e-16,3.17852797805657103e-13
0.30,1.72,9.06290667951791451e-04,9.06290667952435250e-04,6.43799250021892533e-16,7.10367294718388264e-13
0.30,1.76,8.43402594474394990e-04,8.43402594475758916e-04,1.36392633298676458e-15,1.61717113739085913e-12
0.30,1.80,7.83729914399485645e-04,7.83729914401098829e-04,1.61318441244118205e-15,2.05834227174284345e-12
0.30,1.84,7.27184995384932650e-04,7.27184995386243775e-04,1.31112568718672051e-15,1.80301532004289647e-12
0.30,1.88,6.73680173780336327e-04,6.73680173780896101e-04,5.59773581654265939e-16,8.30918889170580631e-13
0.30,1.92,6.23127758352742269e-04,6.23127758352356293e-04,3.85975973404839579e-16,6.19417074959745352e-13
0.30,1.96,5.75440034012761445e-04,5.75440034011556463e-04,1.20498229450038963e-15,2.09401887821414614e-12
0.30,2.00,5.30529265540871479e-04,5.30529265539253850e-04,1.61762964134837262e-15,3.04908653758080794e-12
0.30,2.04,4.88307701313696026e-04,4.88307701312218475e-04,1.47755072066324544e-15,3.02585995816296984e-12
0.30,2.08,4.48687577030058415e-04,4.48687577029232524e-04,8.25891004890833003e-16,1.84068168403295279e-12
0.30,2.12,4.11581119436602212e-04,4.11581119436726895e-04,1.24683249835833010e-16,3.02937243589962053e-13
0.30,2.16,3.76900550052829727e-04,3.76900550053882271e-04,1.05254346904892770e-15,2.79262916676150921e-12
0.30,2.20,3.44558088895369219e-04,3.44558088897010484e-04,1.64126524870855661e-15,4.76339201312187454e-12
0.30,2.24,3.14465958201373490e-04,3.14465958203047065e-04,1.67357447344862464e-15,5.32195752765078899e-12
0.30,2.28,2.86536386150856512e-04,2.86536386151977794e-04,1.12128188678450869e-15,3.91322687440395507e-12
0.30,2.32,2.60681610587860349e-04,2.60681610588016529e-04,1.56179322946536914e-16,5.99119065569086389e-13
0.30,2.36,2.36813882740277384e-04,2.36813882739370937e-04,9.06447226306505982e-16,3.82767773502582242e-12
0.30,2.40,2.14845470938112936e-04,2.14845470936406103e-04,1.70683237508961749e-15,7.94446523657385826e-12
0.30,2.44,1.94688664329993187e-04,1.94688664328040783e-04,1.95240416715758425e-15,1.00283402420794239e-11
0.30,2.48,1.76255776597717203e-04,1.76255776596197098e-04,1.52010565593330149e-15,8.62443027564351178e-12
0.30,2.52,1.59459149668641527e-04,1.59459149668124688e-04,5.16839175623839964e-16,3.24120112705677026e-12
0.30,2.56,1.44211157425682643e-04,1.44211157426430634e-04,7.47991078797749509e-16,5.18677675255007502e-12
0.30,2.60,1.30424209414779514e-04,1.30424209416635234e-04,1.85572043842618939e-15,1.42283433936575400e-11
0.30,2.64,1.18010754549670795e-04,1.18010754552077670e-04,2.40687461280919557e-15,2.03953836406244776e-11
0.30,2.68,1.06883284813855117e-04,1.06883284816001743e-04,2.14662543383120630e-15,2.00838273030866852e-11
0.30,2.72,9.69543389595723586e-05,9.69543389606406772e-05,1.06831861065859179e-15,1.10187808210655066e-11
0.30,2.76,8.81365062036851678e-05,8.81365062031311405e-05,5.54027310140092766e-16,6.28601397998699402e-12
0.30,2.80,8.03424299203143799e-05,8.03424299180791616e-05,2.23521830385042808e-15,2.78211438978079150e-11
0.30,2.84,7.34848113299962588e-05,7.34848113266046440e-05,3.39161478849631104e-15,4.61539565424236345e-11
0.30,2.88,6.74764131851994634e-05,6.74764131816909716e-05,3.50849178269024842e-15,5.19958251669820731e-11
0.30,2.92,6.22300634519602986e-05,6.22300634496638906e-05,2.29640796396007874e-15,3.69019061955091380e-11
0.30,2.96,5.76586589874164364e-05,5.76586589876284251e-05,2.11988629775228254e-16,3.67661394658369952e-12
0.30,3.00,5.36751692130655128e-05,5.36751692166886183e-05,3.62310550484912230e-15,6.75005884047149068e-11
0.30,3.04,5.01926397835595012e-05,5.01926397907771502e-05,7.21764905871682960e-15,1.43798953169286513e-10
0.30,3.08,4.71241962508970756e-05,4.71241962609227270e-05,1.00256513702913497e-14,2.12749546215709599e-10
0.30,3.12,4.43830477244128057e-05,4.43830477347813361e-05,1.03685303073398905e-14,2.33614653263535607e-10
0.30,3.16,4.18824905361981647e-05,4.18824905312594883e-05,4.93867642094303338e-15,1.17917448516033076e-10
0.30,3.20,3.95376834755280229e-05,3.95376834859571263e-05,1.04291033274639400e-14,2.63776286518357003e-10
0.30,3.24,3.73036744445930476e-05,3.73036744579062303e-05,1.33131827502290523e-14,3.56886632314244431e-10
0.30,3.28,3.51748790800020283e-05,3.51748790895414217e-05,9.53939347219517897e-15,2.71199040881182032e-10
0.30,3.32,3.31474748687426011e-05,3.31474748741161375e-05,5.37353635979981314e-15,1.62109976105475385e-10
0.30,3.36,3.12177329346330525e-05,3.12177329362659558e-05,1.63290333945326216e-15,5.23069161616249799e-11
0.30,3.40,2.93820169557866021e-05,2.93820169546446526e-05,1.14194949069751361e-15,3.88655922587028681e-11
