speed,energy_over_a_c,production_rate_over_a_c,mode_sum_rate_over_a_c,absolute_difference,relative_difference
0.85,1.96,3.79215269783146419e-05,3.79215269886532821e-05,1.03386402086971807e-14,2.72632486866646091e-10
0.85,2.00,3.33144272378136017e-05,3.33144272413158932e-05,3.50229150151634694e-15,1.05128372045756627e-10
0.85,2.04,2.92670439641442719e-05,2.92670439600436566e-05,4.10061524666605060e-15,1.40110332026163858e-10
0.85,2.08,2.57113677652641903e-05,2.57113677554688438e-05,9.79534650006469443e-15,3.80973373070797076e-10
0.85,2.12,2.25876602150278597e-05,2.25876602033042630e-05,1.17235966756983750e-14,5.19026608784533374e-10
0.85,2.16,1.98434451322753249e-05,1.98434451228065096e-05,9.46881529889816165e-15,4.77175976263085625e-10
0.85,2.20,1.74326230507910154e-05,1.74326230467508580e-05,4.04015742302282765e-15,2.31758434298035472e-10
0.85,2.24,1.53146943935615578e-05,1.53146943960346298e-05,2.47307193170301365e-15,1.61483596587037081e-10
0.85,2.28,1.34540781647413017e-05,1.34540781725166525e-05,7.77535079778211152e-15,5.77917765757094092e-10
0.85,2.32,1.18195143094719111e-05,1.18195143196096859e-05,1.01377748155852959e-14,8.57715007694163332e-10
0.85,2.36,1.03835392209214814e-05,1.03835392298101604e-05,8.88867904519190233e-15,8.56035581747824911e-10
0.85,2.40,9.12202515890147013e-06,9.12202516352344601e-06,4.62197588416233401e-15,5.06683088602341006e-10
0.85,2.44,8.01377555105586709e-06,8.01377555000655251e-06,1.04931457945399431e-15,1.30938853091928219e-10
0.85,2.48,7.04016924542225957e-06,7.04016923932981500e-06,6.09244456235358625e-15,8.65383253618140697e-10
0.85,2.52,6.18484774806942499e-06,6.18484773925306731e-06,8.81635767808943566e-15,1.42547691548412662e-09
0.85,2.56,5.43344029205121795e-06,5.43344028363172400e-06,8.41949394318058930e-15,1.54956961035246349e-09
0.85,2.60,4.77332223686186903e-06,4.77332223169833755e-06,5.16353148118705446e-15,1.08174793792412412e-09
0.85,2.64,4.19340281826260500e-06,4.19340281800965724e-06,2.52947754972657202e-16,6.03204046809687285e-11
0.85,2.68,3.68393871448870163e-06,3.68393871903941451e-06,4.55071288472746159e-15,1.23528463196425208e-09
0.85,2.72,3.23637029907129390e-06,3.23637030667362763e-06,7.60233373039358000e-15,2.34903086173946881e-09
0.85,2.76,2.84317781817288064e-06,2.84317782613928650e-06,7.96640585529889700e-15,2.80193724854571422e-09
0.85,2.80,2.49775506114393882e-06,2.49775506673998735e-06,5.59604852691172883e-15,2.24043125822403507e-09
0.85,2.84,2.19429838796238028e-06,2.19429838937022188e-06,1.40784160317011103e-15,6.41590774522771684e-10
0.85,2.88,1.92770924008056918e-06,1.92770923696431633e-06,3.11625284767341054e-15,1.61655751184798386e-09
0.85,2.92,1.69350849157853743e-06,1.69350848513309125e-06,6.44544617839652636e-15,3.80597217845648101e-09
0.85,2.96,1.48776120039106308e-06,1.48776119292407188e-06,7.46699120619126206e-15,5.01894473501860013e-09
0.85,3.00,1.30701049668560679e-06,1.30701049078494996e-06,5.90065682133742581e-15,4.51462085648117034e-09
0.85,3.04,1.14821949978367698e-06,1.14821949735653816e-06,2.42713881728107064e-15,2.11382825572017788e-09
0.85,3.08,1.00872028975126845e-06,1.00872029155329208e-06,1.80202363176795027e-15,1.78644530783957853e-09
0.85,3.12,8.86169078951239114e-07,8.86169084217877904e-07,5.26663879015307071e-15,5.94315338229311202e-09
0.85,3.16,7.78506830062526956e-07,7.78506836903099817e-07,6.84057286048879096e-15,8.78678585238967178e-09
0.85,3.20,6.83924660036991427e-07,6.83924666134416437e-07,6.09742501020432313e-15,8.91534596151844969e-09
0.85,3.24,6.00833448225961419e-07,6.00833451530075057e-07,3.30411363806698164e-15,5.49921717849225345e-09
0.85,3.28,5.27837137268938874e-07,5.27837136710529545e-07,5.58409329213594482e-16,1.05791974527141120e-09
0.85,3.32,4.63709278170128886e-07,4.63709274063985638e-07,4.10614324837762818e-15,8.85499488157969418e-09
0.85,3.36,4.07372425234735418e-07,4.07372419078515522e-07,6.15621989641384907e-15,1.51120193908545417e-08
0.85,3.40,3.57880034055954457e-07,3.57880027956738449e-07,6.09921600843173315e-15,1.70426275063581481e-08
0.85,3.44,3.14400558380623224e-07,3.14400554375988298e-07,4.00463492585779123e-15,1.27373659814501813e-08
0.85,3.48,2.76203478824450958e-07,2.76203478250229853e-07,5.74221104998227320e-16,2.07897854377490811e-09
0.85,3.52,2.42647028900262229e-07,2.42647031820168869e-07,2.91990664003292347e-15,1.20335559768846937e-08
0.85,3.56,2.13167411544601131e-07,2.13167416903755772e-07,5.35915464032794158e-15,2.51405900496865241e-08
0.85,3.60,1.87269326219186768e-07,1.87269332172373925e-07,5.95318715774817734e-15,3.17894397800730459e-08
0.85,3.64,1.64517646803307178e-07,1.64517651308263608e-07,4.50495642961458030e-15,2.73828151191719555e-08
0.85,3.68,1.44530110632822351e-07,1.44530112220968417e-07,1.58814606558078573e-15,1.09883403615760674e-08
0.85,3.72,1.26970896271714748e-07,1.26970894480865519e-07,1.79084922902063672e-15,1.41044074419001367e-08
0.85,3.76,1.11544981509157852e-07,1.11544977050262717e-07,4.45889513528491607e-15,3.99739661363300656e-08
0.85,3.80,9.79931871244068651e-08,9.79931815053644906e-08,5.61904237446546968e-15,5.73411566819867317e-08
0.85,3.84,8.60878223149083995e-08,8.60878174634669092e-08,4.85144149032204806e-15,5.63545648300452555e-08
0.85,3.88,7.56288595241878480e-08,7.56288570509259957e-08,2.47326185237165582e-15,3.27026210472312454e-08
0.85,3.92,6.64405734367719755e-08,6.64405741381247717e-08,7.01352796212327491e-16,1.05560917452981323e-08
0.85,3.96,5.83685883615708887e-08,5.83685918772519363e-08,3.51568104762196320e-15,6.02324115513249855e-08
0.85,4.00,5.12772838096460552e-08,5.12772889387636201e-08,5.12911756486151670e-15,1.00027081599162019e-07
