speed,energy_over_a_c,production_rate_over_a_c,quadpack_rate_over_a_c,absolute_difference,relative_difference,quadpack_absolute_error_estimate,fourier_cycles
0.30,0.08,7.32583843160540798e-03,7.32583843162790734e-03,2.24993634834191880e-14,3.07123391996777957e-12,2.91425497004176997e-14,16
0.30,4.00,1.09271848246321044e-05,1.09271848213575615e-05,3.27454297672450517e-15,2.99669405273012095e-10,3.94110686301716919e-14,37
0.60,1.52,3.01698644863865036e-04,3.01698644940311209e-04,7.64461736101063050e-14,2.53385869947246864e-10,3.30821739075049065e-14,32
0.85,0.08,1.63938394804544925e-02,1.63938394819597502e-02,1.50525772402154701e-12,9.18184983864198254e-11,1.89072607745941407e-14,17
0.85,4.00,5.12772838094002965e-08,5.12772889332911056e-08,5.12389080909414114e-15,9.99251504064506437e-08,3.99987747505330819e-14,44
