E_over_a_c,rate_over_a_c_v_0.30,rate_over_a_c_v_0.60,rate_over_a_c_v_0.85,a_c_beta_eff_v_0.30,a_c_beta_eff_v_0.60,a_c_beta_eff_v_0.85
0.68,3.95579353034809702e-03,3.18042536093799712e-03,2.39517081437907661e-03,4.91902029060478618e+00,5.22965341457361887e+00,5.63625171368359634e+00
0.72,3.77873715172222973e-03,2.84146253623656416e-03,2.10463960723592880e-03,4.78392770435138903e+00,5.16881839532477816e+00,5.57698572279700233e+00
0.76,3.60715144616751597e-03,2.53354453551916893e-03,1.84878422833009205e-03,4.66040597794940137e+00,5.11388341344471531e+00,5.52116056632610785e+00
0.80,3.44095089776001468e-03,2.25494539970319844e-03,1.62375631575569423e-03,4.54706654813549083e+00,5.06395525171682070e+00,5.46833100107909864e+00
0.84,3.28004986309735460e-03,2.00393250678484796e-03,1.42603558400887466e-03,4.44274377918687779e+00,5.01820413274292143e+00,5.41813902752240661e+00
0.88,3.12436257495364621e-03,1.77876820866647062e-03,1.25242441029386488e-03,4.34645144296880304e+00,4.97584560895109274e+00,5.37030248164431345e+00
0.92,2.97380314593922741e-03,1.57771146886033693e-03,1.10003889530823989e-03,4.25734912224803175e+00,4.93612898360830421e+00,5.32460408107633754e+00
0.96,2.82828557216520046e-03,1.39901949932877195e-03,9.66296660249965330e-04,4.17471597490259061e+00,4.89833279008520339e+00,5.28088030212258985e+00
1.00,2.68772373691254047e-03,1.24094939472323986e-03,8.48901674201700106e-04,4.09793002997187994e+00,4.86176835959643050e+00,5.23900975777206313e+00
1.04,2.55203141430576609e-03,1.10175976228978805e-03,7.45826434350666759e-04,4.02645169084516485e+00,4.82579278204204520e+00,5.19890105822223436e+00
1.08,2.42112227299078704e-03,9.79712345714223295e-04,6.55291845419649012e-04,3.95981047330842584e+00,4.78983248356272640e+00,5.16048047746245153e+00
1.12,2.29490987981691673e-03,8.73073641189042108e-04,5.75745163994990667e-04,3.89759425603132614e+00,4.75341807700100283e+00,5.12368013884393836e+00
1.16,2.17330770352270296e-03,7.80116503994401087e-04,5.05836387970909481e-04,3.83944050060758135e+00,4.71623004575249460e+00,5.08842789613778113e+00
1.20,2.05622911842540893e-03,6.99121743897806666e-04,4.44393480978059043e-04,3.78502902885907666e+00,4.67815338486744636e+00,5.05464066323755823e+00
1.24,1.94358740811393293e-03,6.28379707690426858e-04,3.90396826376533006e-04,3.73407604120297032e+00,4.63933810670912106e+00,5.02222368200706359e+00
1.28,1.83529576914498384e-03,5.66191847181667551e-04,3.42953447218928347e-04,3.68632913132861528e+00,4.60026252245994804e+00,4.99107883381057338e+00
1.32,1.73126731474238177e-03,5.10872270788750686e-04,3.01274785174889491e-04,3.64156310607659028e+00,4.56179880524545656e+00,4.96111781032465071e+00
1.36,1.63141507849929603e-03,4.60814468479724940e-04,2.64663588723805271e-04,3.59957646005464493e+00,4.52518336665449628e+00,4.93226517961603683e+00
1.40,1.53565201808335034e-03,4.15185286360494714e-04,2.32504644021534176e-04,3.56018838557126704e+00,4.49088746268365213e+00,4.90445604529939505e+00
1.44,1.44389101894438110e-03,3.73656499386946714e-04,2.04256160731228122e-04,3.52323622236087752e+00,4.45872828959233569e+00,4.87763371380188726e+00
1.48,1.35604489802475269e-03,3.35923850276824063e-04,1.79441736288433860e-04,3.48857327008551410e+00,4.42852445592724564e+00,4.85174765143780373e+00
1.52,1.27202640747198464e-03,3.01698644863864656e-04,1.57642932519196809e-04,3.45606690102071701e+00,4.40010626244799585e+00,4.82675177893065932e+00
1.56,1.19174823835354140e-03,2.70707473534021641e-04,1.38492484343390090e-04,3.42559692162182161e+00,4.37331425531162044e+00,4.80260314206716910e+00
1.60,1.11512302437352727e-03,2.42691913408828918e-04,1.21668146675407606e-04,3.39705414052931465e+00,4.34799807685227524e+00,4.77926097943401640e+00
1.64,1.04206334559110172e-03,2.17408211757748343e-04,1.06887172768866401e-04,3.37033910753710586e+00,4.32401559559668858e+00,4.75668618219905781e+00
1.68,9.72481732140393100e-04,1.94626951273172121e-04,9.39014053149170129e-05,3.34536099351293004e+00,4.30123230199960638e+00,4.73484110807710223e+00
